OrderID,Delivery_Time_Days,Customer_Rating,Region,Product_Category,Status
101,3,4,East,Home,On-Time
102,6,3,East,Fashion,Late
103,8,3,North,Home,Late
104,4,4,East,Electronics,On-Time
105,1,5,East,Fashion,On-Time
106,1,2,South,Fashion,On-Time
107,4,4,West,Electronics,On-Time
108,9,2,North,Fashion,Late
109,2,4,East,Home,On-Time
110,4,2,South,Fashion,On-Time
111,7,5,West,Fashion,Late
112,1,4,North,Fashion,On-Time
113,7,2,West,Fashion,Late
114,7,1,East,Electronics,Late
115,1,4,West,Electronics,On-Time
116,5,3,West,Electronics,On-Time
117,6,3,East,Electronics,Late
118,9,3,West,Home,Late
119,5,4,East,Fashion,On-Time
120,7,5,East,Electronics,Late
121,9,5,East,Home,Late
122,6,1,South,Home,Late
123,9,4,East,Fashion,Late
124,9,4,South,Fashion,Late
125,3,2,East,Home,On-Time
126,8,5,West,Electronics,Late
127,9,5,East,Electronics,Late
128,8,5,South,Electronics,Late
129,7,4,North,Fashion,Late
130,2,5,West,Electronics,On-Time
131,4,3,South,Fashion,On-Time
132,2,3,West,Fashion,On-Time
133,6,1,South,Fashion,Late
134,9,2,West,Home,Late
135,5,5,North,Home,On-Time
136,9,3,West,Fashion,Late
137,4,5,West,Home,On-Time
138,2,5,East,Home,On-Time
139,2,4,South,Home,On-Time
140,4,5,West,Home,On-Time
141,3,2,South,Home,On-Time
142,4,2,West,Home,On-Time
143,7,3,West,Electronics,Late
144,5,4,South,Fashion,On-Time
145,5,5,North,Electronics,On-Time
146,1,1,South,Fashion,On-Time
147,2,2,South,Fashion,On-Time
148,3,3,East,Fashion,On-Time
149,2,5,West,Electronics,On-Time
150,3,1,South,Electronics,On-Time
151,6,5,North,Home,Late
152,1,4,West,Fashion,On-Time
153,7,4,West,Electronics,Late
154,2,4,South,Fashion,On-Time
155,5,5,South,Electronics,On-Time
156,5,5,North,Home,On-Time
157,9,5,East,Electronics,Late
158,4,5,West,Home,On-Time
159,3,3,South,Home,On-Time
160,4,5,South,Home,On-Time
161,6,5,North,Electronics,Late
162,2,3,North,Electronics,On-Time
163,6,1,North,Electronics,Late
164,9,5,East,Home,Late
165,7,5,North,Home,Late
166,8,3,South,Electronics,Late
167,6,5,East,Electronics,Late
168,9,3,East,Home,Late
169,3,1,North,Electronics,On-Time
170,5,5,North,Electronics,On-Time
171,6,1,North,Electronics,Late
172,7,4,East,Electronics,Late
173,5,1,West,Home,On-Time
174,3,5,East,Electronics,On-Time
175,9,1,West,Fashion,Late
176,5,4,West,Electronics,On-Time
177,8,5,West,Home,Late
178,3,3,South,Fashion,On-Time
179,8,4,East,Electronics,Late
180,8,4,West,Home,Late
181,5,5,West,Home,On-Time
182,1,4,East,Fashion,On-Time
183,2,4,South,Home,On-Time
184,3,4,South,Electronics,On-Time
185,8,5,West,Fashion,Late
186,7,4,East,Fashion,Late
187,3,1,North,Fashion,On-Time
188,4,1,North,Fashion,On-Time
189,1,4,West,Electronics,On-Time
190,6,4,North,Electronics,Late
191,7,3,South,Home,Late
192,9,1,North,Home,Late
193,3,5,South,Fashion,On-Time
194,4,1,East,Electronics,On-Time
195,1,1,West,Fashion,On-Time
196,3,2,West,Home,On-Time
197,7,1,West,Home,Late
198,6,1,East,Electronics,Late
199,7,2,North,Electronics,Late
200,4,3,West,Electronics,On-Time
201,3,3,North,Fashion,On-Time
202,8,1,North,Electronics,Late
203,1,5,South,Home,On-Time
204,7,4,West,Home,Late
205,1,4,South,Electronics,On-Time
206,5,3,East,Home,On-Time
207,3,4,East,Home,On-Time
208,1,4,North,Electronics,On-Time
209,2,4,South,Electronics,On-Time
210,5,2,South,Electronics,On-Time
211,6,5,South,Fashion,Late
212,5,1,South,Home,On-Time
213,6,4,North,Home,Late
214,2,4,West,Fashion,On-Time
215,5,3,South,Electronics,On-Time
216,8,2,South,Home,Late
217,9,3,West,Home,Late
218,9,3,West,Home,Late
219,5,1,East,Electronics,On-Time
220,1,4,South,Electronics,On-Time
221,6,5,North,Fashion,Late
222,7,4,North,Home,Late
223,6,3,South,Fashion,Late
224,6,5,North,Home,Late
225,2,4,East,Electronics,On-Time
226,9,3,North,Fashion,Late
227,9,4,North,Fashion,Late
228,8,3,West,Fashion,Late
229,8,3,South,Electronics,Late
230,1,2,West,Fashion,On-Time
231,7,3,South,Electronics,Late
232,4,4,South,Home,On-Time
233,9,5,West,Home,Late
234,6,4,South,Electronics,Late
235,5,5,East,Fashion,On-Time
236,6,3,North,Electronics,Late
237,5,2,North,Home,On-Time
238,2,5,North,Home,On-Time
239,6,3,West,Electronics,Late
240,3,4,West,Electronics,On-Time
241,7,5,West,Home,Late
242,6,4,East,Fashion,Late
243,4,4,East,Fashion,On-Time
244,7,5,West,Home,Late
245,3,1,South,Electronics,On-Time
246,5,1,East,Electronics,On-Time
247,4,2,North,Fashion,On-Time
248,1,5,East,Fashion,On-Time
249,3,4,East,Home,On-Time
250,6,1,South,Home,Late
251,9,4,West,Fashion,Late
252,8,5,West,Home,Late
253,5,5,East,Home,On-Time
254,8,4,South,Electronics,Late
255,7,4,North,Home,Late
256,4,2,West,Electronics,On-Time
257,5,3,West,Fashion,On-Time
258,9,5,West,Home,Late
259,2,4,East,Fashion,On-Time
260,1,4,West,Electronics,On-Time
261,6,4,West,Fashion,Late
262,5,2,North,Electronics,On-Time
263,2,4,East,Electronics,On-Time
264,8,4,North,Fashion,Late
265,1,4,South,Home,On-Time
266,5,1,East,Fashion,On-Time
267,1,5,West,Electronics,On-Time
268,5,3,South,Fashion,On-Time
269,4,4,West,Electronics,On-Time
270,3,4,East,Fashion,On-Time
271,2,4,West,Home,On-Time
272,5,4,West,Fashion,On-Time
273,3,5,South,Fashion,On-Time
274,7,4,South,Fashion,Late
275,5,5,South,Fashion,On-Time
276,6,2,West,Home,Late
277,8,5,West,Home,Late
278,6,4,West,Home,Late
279,4,5,East,Electronics,On-Time
280,2,4,West,Electronics,On-Time
281,2,4,East,Fashion,On-Time
